Algorithm-1,Algorithm-2,Algorithm-3,Algorithm-4,T1(n),T2(n),T3(n),T4(n)
4678,2707,1754,976,356,137,122,37
5751,1771,1585,682,1013,295,207,55
2553,3666,3085,598,2190,513,299,73
3894,4284,2777,721,4037,791,396,91
5673,7006,1501,546,6704,1129,497,109
8399,3151,1032,271,10341,1527,601,127
10738,1986,1183,281,15098,1985,709,145
13989,2421,1402,323,21125,2503,818,163
18492,2941,1560,315,28572,3081,931,181
23169,3573,1739,330,37589,3719,1045,199
29925,4629,1889,352,48326,4417,1161,217
36067,4929,2181,364,60933,5175,1279,235
44829,5763,2230,381,75560,5993,1398,253
39597,4772,1757,298,92357,6871,1519,271
35650,4171,1409,268,111474,7809,1641,289
42145,4719,1514,264,133061,8807,1764,307
53044,5731,1640,271,157268,9865,1888,325
65732,6858,1828,292,184245,10983,2014,343
65208,6476,1732,279,214142,12161,2141,361
