Algorithm-1,Algorithm-2,Algorithm-3,Algorithm-4,T1(n),T2(n),T3(n),T4(n)
2242,1152,967,459,1776,685,606,185
4546,815,771,228,5061,1475,1031,275
14661,1865,1070,402,10946,2565,1491,365
4042,1847,432,111,20181,3955,1976,455
2460,535,480,122,33516,5645,2481,545
3240,665,508,134,51701,7635,3004,635
4568,813,598,129,75486,9925,3541,725
6054,1028,625,144,105621,12515,4090,815
7905,1196,693,141,142856,15405,4651,905
10410,1487,760,149,187941,18595,5222,995
12719,1772,897,230,241626,22085,5802,1085
17054,2148,1042,174,304661,25875,6391,1175
18754,2454,998,168,377796,29965,6987,1265
22793,2688,1036,175,461781,34355,7591,1355
28079,3142,1150,187,557366,39045,8201,1445
33896,3602,1241,195,665301,44035,8818,1535
40235,4048,1389,207,786336,49325,9440,1625
46338,4319,1402,237,921221,54915,10068,1715
60047,5233,1609,234,1070706,60805,10702,1805
